,C1_corr,C1_pval,C1_qval,C1_ci_low,C1_ci_high,C5_1_corr,C5_1_pval,C5_1_qval,C5_1_ci_low,C5_1_ci_high
PF3D7_0617900,0.6546571463015755,0.0,0.0,0.6377402833811879,0.6709427480792227,-0.6546456024628408,0.0,0.0,-0.6709316403588689,-0.6377282978666102
PF3D7_1362600,0.6043386170168503,0.0,0.0,0.5855742220172611,0.6224557002719712,-0.6042967608429172,0.0,0.0,-0.6224153095971579,-0.5855308936198887
PF3D7_0904200,0.5807775622179497,0.0,0.0,0.5612013901494691,0.5997043103096888,-0.5807436150095412,0.0,0.0,-0.5996715075913817,-0.5611662977938696
PF3D7_1214800,0.5757048798927071,0.0,0.0,0.5559583705293819,0.5948019420010635,-0.5756503586769248,0.0,0.0,-0.5947492436043843,-0.5559020270611619
PF3D7_1351600,0.5622985213461554,0.0,0.0,0.5421093951764541,0.5818388570713554,-0.562249042836176,0.0,0.0,-0.5817909961444903,-0.5420583034170511
PF3D7_0825800,0.5602299547799154,0.0,0.0,0.5399735102117056,0.5798378019542518,-0.5601851608030167,0.0,0.0,-0.5797944672936558,-0.5399272613676582
PF3D7_0930000,0.5592466551372044,0.0,0.0,0.538958302029569,0.5788865111318501,-0.5591919215130604,0.0,0.0,-0.5788335576509046,-0.5389017940050722
PF3D7_0418800,0.5503289700736288,0.0,0.0,0.5297539242898404,0.5702566769130646,-0.5502739303725798,0.0,0.0,-0.5702034001580871,-0.5296971301736938
PF3D7_1146100,0.5373193599183673,0.0,0.0,0.5163347576105101,0.5576591053770413,-0.5372682788391828,0.0,0.0,-0.557609623657398,-0.516282088746153
PF3D7_1221100.1,0.534203806528226,0.0,0.0,0.513122651925701,0.5546408361383911,-0.5341683723734136,0.0,0.0,-0.5546065053330386,-0.5130861230474719
PF3D7_1031000,0.5325462421706723,0.0,0.0,0.5114139595739213,0.5530348105511322,-0.5325023080675122,0.0,0.0,-0.552992240422814,-0.5113686725852841
PF3D7_0926400,0.5324896667347936,0.0,0.0,0.5113556420032395,0.5529799915321353,-0.532443183511677,0.0,0.0,-0.552934951274609,-0.51130772756181
PF3D7_0421900,0.529815518146804,0.0,0.0,0.5085993700287054,0.5503886610455899,-0.5297709626711241,0.0,0.0,-0.5503454820909903,-0.508553449932276
PF3D7_1207700,0.5269044105935476,0.0,0.0,0.5055993563188749,0.5475672595083192,-0.5268604530687332,0.0,0.0,-0.5475246529370921,-0.505554060265267
PF3D7_1338800,0.5238114496448145,0.0,0.0,0.5024124997271053,0.5445690935362851,-0.5237786097439967,0.0,0.0,-0.5445372572865128,-0.5023786659966476
PF3D7_0621400,0.514430857430441,0.0,0.0,0.4927506873417629,0.5354727579699382,-0.5143837182112585,0.0,0.0,-0.5354270348618831,-0.49270214843416366
PF3D7_1222800,0.5142583427421354,0.0,0.0,0.49257305089151193,0.5353054252018183,-0.5142110698798544,0.0,0.0,-0.5352595720125682,-0.49252437486793504
PF3D7_1207300,0.5066256508261794,2.2821841101238e-310,1.6363260069587765e-308,0.4847155612967309,0.527900346863103,-0.5065809792721501,2.6589274065492e-310,1.9064509504957703e-308,-0.5278569979309806,-0.4846695844848685
PF3D7_0502300,0.5032948735639758,1.885545468702884e-305,1.2963770832081882e-303,0.48128779408893335,0.5246678822335145,-0.5032464091489346,2.2208988600303638e-305,1.526944024451013e-303,-0.5246208437652802,-0.4812379233907965
PF3D7_0303900,0.5023780323080547,4.150915534742896e-304,2.777792675849946e-302,0.48034437316274614,0.5237779946687214,-0.5023392511338334,4.7297326819132105e-304,3.1651371107363206e-302,-0.5237403525704017,-0.48030446882747296
PF3D7_1120700,0.5015355047924087,7.046000271848913e-303,4.653141495317065e-301,0.47947746532005125,0.5229601949532781,-0.501505885003454,7.782272703950785e-303,5.139371934359078e-301,-0.5229314437739255,-0.4794469892028079
PF3D7_0609100,0.500576619915215,1.7492471457660555e-301,1.1401910941038743e-299,0.4784908854464006,0.5220294049166951,-0.5005295455979513,2.047395387518476e-301,1.334529538955225e-299,-0.5219837085372024,-0.4784424529408401
PF3D7_0411700,0.49611363180332985,4.672457525018862e-295,2.8951931256876136e-293,0.47389972867736035,0.5176965076238399,-0.4960688280754972,5.414002745793775e-295,3.3546765161899946e-293,-0.517653004257999,-0.4738536443925196
PF3D7_1471600,0.49485065087854857,2.942954014532557e-293,1.801303194992549e-291,0.47260069651325476,0.5164701400835878,-0.49481006032806646,3.360991793775902e-293,2.057172904019665e-291,-0.5164307247682672,-0.47255894892681516
PF3D7_0723300,0.4939192588891592,6.168716189005506e-292,3.73021524730345e-290,0.47164278028520223,0.5155656920083863,-0.49387718439572076,7.0758582343491835e-292,4.278762949180548e-290,-0.5155248335345451,-0.47159950883291596
PF3D7_0715400,0.49358258553121037,1.8480599960856517e-291,1.09122507298281e-289,0.47129653205976124,0.515238746286802,-0.49353279641273434,2.1733800058939414e-291,1.2833169705390225e-289,-0.5151903952100009,-0.47124532753998
PF3D7_1318700,0.4908962617254708,1.1154326731782813e-287,6.5097169612579e-286,0.46853405624193223,0.5126298136879021,-0.49085278718988024,1.2832676947070847e-287,7.489209953180068e-286,-0.5125875883245872,-0.4684893528840656
PF3D7_1310700,0.4908529691098378,1.282515297902942e-287,7.3987865289366265e-286,0.4684895399458129,0.5125877650175803,-0.49081036497939634,1.4713233558037885e-287,8.488013704343925e-286,-0.5125463849481338,-0.4684457317060178
PF3D7_0630000,0.4891689195429147,2.8740847703215953e-285,1.6207900519375378e-283,0.46675797826641424,0.5109520230658251,-0.48912230986212407,3.3368957054611655e-285,1.8817842186190548e-283,-0.5109067481582042,-0.46671005602957066
PF3D7_0504500,0.4881207912074361,8.202035006810994e-284,4.574001522131597e-282,0.4656803658149887,0.5099338810466122,-0.48807492970639016,9.494549630181544e-284,5.294793843764574e-282,-0.5098893302196871,-0.4656332157379033
PF3D7_1246200,0.4880412484001787,1.0571617214212546e-283,5.830653494300305e-282,0.46559858816517524,0.5098566114157382,-0.48801224578431934,1.1596347820494754e-283,6.395831836380569e-282,-0.509828437549805,-0.46556877078430764
PF3D7_0924800,0.48082668143361124,7.69442898533457e-274,3.786111674254334e-272,0.4581829135001649,0.5028467583546496,-0.4807800072165774,8.894422456611552e-274,4.376579049973861e-272,-0.5028013990905107,-0.4581349484889877
